f08924a4 AbilityHaste
b88bfcb2 AbilityHasteMax
97aaccb3 AbilityLossIcon
7f1304b2 AbilityPower
c88c6b61 AbilityPowerIncPerLevel
dcc344a6 AbilityResetUi
de708c93 AbilitySlotCc
8be259f9 Absorbed
2fa0ba9d Acceleration
63ee70e9 AcquisitionRange
2904e822 ActionButtonDefinition
b5b54664 Actions
83ac3b37 ActivateWheelDelayTime
e453a5c6 ActiveSpellFix
8c28daf6 ActiveTooltipTraKey
275a7247 ActiveTraitButtonTemplate
1df3a429 AddFriendButtonDefinition
ee172090 AdditionalCharacters
5989220d AdditionalRoots
111ec6d2 AddressU
101ec53f AddressV
0f1ec3ac AddressW
c78c9a29 AdviceCharBorder0
c68c9896 AdviceCharBorder1
3b1fdb59 AdviceCharBorderHover0
3a1fd9c6 AdviceCharBorderHover1
f4d2ce3c AdviceCharIcon0
f5d2cfcf AdviceCharIcon1
aec4c360 AdviceEmptyIconDefault
e9a0a7f1 AdviceEmptyText
2fc43f29 AdviceEmptyTextHover
c59afad1 AdviceIconDefault
13f36cf9 AdviceLabel
e4460934 AfkDetection2
c0aa3297 AirColoration
4b6992bc AirDrake
d5ef6d17 Airborne
f6021445 AllItemsHeaderRegion
da5f7006 AllItemsHeaderText
63f6810c AllItemsIconDefinition
b5c9c4ef AllItemsItemRegion
1429a941 AlliedElementGroup
6211de87 AlliedElements
8eee23e5 AllowBloom
164ae4e9 AllowCharacterInking
6ee92909 AllowCharacterMaterials
c576c85a AllowDefaultCharacterMaterialCreation
e0b63a87 Ally
73e094f1 AllyChampSpecificHealthSuffix
c4663005 AlphaErosionDefinition
e8e7d190 AlphaFadeSpeed
b99310f4 AlphaRef
d4315289 AlphaStart
48fd3ad8 AlphaTestCompareFunc
0ce88288 AlphaTestEnable
ce0c7934 AlphaTestNormalizedReferenceValue
171ca0c4 AlternateForms
3c84e8f5 AlternateIconsCircle
b3315a82 AlternateIconsSquare
c74608c8 AlternateRightLeft
6ea2a666 AlwaysDraw
df73f8e2 AlwaysSnapFacing
3fda1a59 AmbientEvent
5b9b0daf Ammo
f785ce49 Amount
42edcab4 Anchor
35b8ee35 AnchorLeft
ea0df64e AnchorRight
2434c560 AngelOffsetRadian
654eb1b6 AngleOffsetRadian
ea6767d3 AnimName
8568e9e9 AnimTime
274ab944 AnimatedColorWithDistance
efd29e97 AnimationGds
f5fb07c7 AnimationGraphData
98557a5e AnimationName
0b5ad48b AnimationPool
11993f84 AnimationSuffix
cf15f26a Animations
9857176c AnmFiles
2b7134b7 AnnouncementIcon
1df05e4b Announcements
25e5198f AnnouncementsMapping
5af22504 AntiTrollPingAfterDeath
7e668ce7 AoRadius
06942b7c AoStrength
e99de12c ArAllowMaxValueToBeOverridden
4a3c4977 ArBase
259fed61 ArBaseFactorRegen
4dae8152 ArBaseStaticRegen
819f5a9b ArContributesToHealthValues
b9db5286 ArDisplayAsPips
8eed946c ArHasRegenText
a4683030 ArIncrements
f6007087 ArIsShown
6a13281e ArIsShownOnlyOnLocalPlayer
7fc18e12 ArMaxSegments
ce098fcd ArNegativeSpacer
7d363e77 ArOverrideEmptyPipName
6f6bd2bd ArOverrideLargePipName
952ac251 ArOverrideSmallPipName
3767c0b1 ArOverrideSpacerName
d7590121 ArPerLevel
4d345705 ArPreventRegenWhileAtZero
d5699a50 ArRegenPerLevel
03187eba ArType
eaac17de AreaIndicatorMaxDistance
0f6e33c8 AreaIndicatorMinDistance
697479ed AreaIndicatorMinRadius
61dbd47b AreaIndicatorRadius
ae44f9db AreaIndicatorTargetDistance
a6c2a1c7 AreaIndicatorTextureName
17c5e625 AreaIndicatorTextureSize
e7d30d42 ArenaInfoPanel
f84984d4 Armor
2d0d1f1d ArmorMaterial
b7bf62a1 ArmorPenetration
da11ad7b ArmorPerLevel
ffbbe351 ArrivalEffectFile
91395787 ArrowSize
e0e43e2f Asleep
3175593f AssetCategory
d01a2020 AssetRemappingTable
adce1b8d AssistCount
346b8e71 AsyncLoading
a8a558ff Asynchrone
8fc9b870 AsynchronousClientNetworking
989f1d2f AsynchronousNetworking
4d5ff2d7 AttachToBone
0d0ab898 AttachToHealthBar
9cce0d5a AttachedToBone
cd79ab0b AttachmentName
4595b8fd Attack
a2873abe AttackAutoInterruptPercent
0d1788bd AttackBlindIcon
439d079f AttackLossIcon
c270990a AttackRange
f2eb4b1f AttackRank
7a209a48 AttackSpeed
1bdbaedf AttackSpeedPerLevel
60c51c2b AttackSpeedRatio
4ca4732d AttackSpeedSlow
25a4e101 AttackableUnitStatusType
4c73c8c6 AttributeFlags
3b182105 AudioBankPaths
189600ee AudioBankUnits
f1695b8d AudioFlexValueParameterName
596b6a3e AudioParameterFlexId
a185a643 AudioParameterTimeScaledDuration
76503b91 AudioType
a8bdced9 AuthoredWidth
f68eb447 AutoBuffActivateAttachBoneNames
7f5cd9e0 AutoBuffActivateEffects
04cfe414 AutoScale
cf0bf7fe AxisFraction
d0838f6a BackButton
93c0f4f7 Backdrop
4bd96f8f BackgroundElement
fce8e78c BackgroundTexture
3a5746e5 BadgeId
090986cc BadgeTroyFile
4ac1dc46 BandData
3b952e97 Bank
084845fa BankAssetPath
2a21ad00 BankPath
85bd6cfe BankPath2013
c6040c09 BankPaths
f8f29f92 BankUnits
416bc18f Banner
250cef17 BannerData
1a9e9484 BannerFlagId
91c02319 BannerFrameId
3f74778c BannerName
7b9fba40 BannerTheme
83d47180 BarBackdrop
b16f7307 BarFill
fb0fa193 BarHitRegion
a2621347 BarrackMinion
3ddc94d8 Base
0787f1cf BaseArmor
8c308ee2 BaseAttackSpeedBonus
c4441218 BaseCritChance
03da00f9 BaseDamage
84ff70c0 BaseData
07a620d7 BaseDodge
5ebf3038 BaseFactorHpRegen
c6e17e07 BaseFactorParRegen
17b55a20 BaseHp
8f4a2881 BaseMaterial
f376912c BaseMissChance
785214a0 BaseMoveSpeed
bac6b669 BaseOutputIconModifier
4d95498b BasePar
62e44e6b BasePosition
2fa68f7a BaseScale
02b730f7 BaseSpellBlock
2d15f18c BaseSpellEffectiveness
4b102e57 BaseStaticHpRegen
ee22a456 BaseStaticParRegen
a24d4513 BaseTexture
f9cb5858 BaseTextureName
d488fdc9 BasedOnMap
b8f0a725 BasicAttack
4948cbcb BattleFury
e3dc40d3 BattlepassButtonDefinition
a1bef65d BaublesSpell
52aecb41 BbScriptProfileDump
6c7b5eda BeamEffectDefinition
0d14fb57 BeamLocalSpaceSourceOffset
fbdecd1f BeamLocalSpaceTargetOffset
5af6ed81 BeamMode
d844ed3d BeamParticleDefinition
7d128718 BeamSegments
6b89d541 BeginIn
f314d542 BeginOut
3ba01201 BeginPatchingButtonDefinition
a0f69e3c Behaviors
ca406316 BindWeight
a24dc16e BirthAcceleration
83cdeaa1 BirthColor
8275da98 BirthDrag
c5e25c95 BirthFrameRate
51433ef4 BirthOrbitalVelocity
9cd63344 BirthRotation
5932ff9c BirthRotation0
5a33012f BirthRotation1
36fa5371 BirthRotationalAcceleration
1819121e BirthRotationalVelocity
1d779e6a BirthRotationalVelocity0
1e779ffd BirthRotationalVelocity1
4ce02fdc BirthScale
f0eb7084 BirthScale0
f1eb7217 BirthScale1
1a9daeb4 BirthTilingSize
ff7d0e41 BirthTranslation
32a3ce18 BirthUvRotateRate
edbcaa56 BirthUvRotateRateMult
cfb707de BirthUvScrollRate
32356474 BirthUvScrollRateMult
b9198a2a BirthUvoffset
740ca9c0 BirthUvoffsetMult
fa41ab8d BirthVelocity
091fa8ec BitIndex
23b75597 BlendEnable
8ffbd6de BlendEquation
999ec9a6 BlendInTime
fa784eab BlendMode
8d1a7a7d BlendOutTime
cb37fca4 BlendWithAlpha
106183b4 Blind
a2734825 Blinded
160da1c3 Blocks
c967b34f Bloodwell
25834918 BlueTeamElementSelectedColor
df925021 BlueTeamElementUnselectedColor
87f1c91c BodyKey
d2af59ed BodyTraKey
de96f676 Bold
1ecb978c BoneName
64fe08ec BoneToSpawnAt
a458b855 BonusOutputIconModifier
c1948a38 Book
e1f94e91 BootsPanelDefinition
1f523237 Border
fc56964a BotDefaultSpell1
fb5694b7 BotDefaultSpell2
a8c6303b BotEnabled
7dfe4c9d BotEnabledMm
84a0987a BotIconSize
ff2a3108 BotLeftOffset
c7878a1b BounceRadius
83422eb0 BoundChampion
706468a8 BoundingCylinderHeight
0506a4c5 BoundingCylinderRadius
96169cd6 BoundingSphereRadius
5d42c230 BoundsElement
bf563566 BoundsMax
b14297a4 BoundsMin
f2c99cb4 BoxMax
e0b465a6 BoxMin
6e304492 BreakpointAmount
5855caa8 BriefText
0e1a23ca BriefTextBackdrop
c91afa4d BrushAlphaOverride
3f0d4c0f BuffAddType
92f50a07 BuffName
6e76e461 BuffNameFilter
9ab26724 BuffTextureName
2ac59a87 BuildTreeIconDefinition
e994800f BuildUpTime
6e43f0a2 BuildingBlocksDontLookToPtp
464daf3a BuildsIntoIconDefinition
5dedab86 BundleItemFrameHoverIcon
70e33256 BundleItemFrameIcon
456ae8d3 BundleItemIcon
5a9e9148 BundleStackText
e4d83b53 Buoyancy
3cd17151 BurstData
3264f70f BurstHealData
952a2284 BurstTimeWindow
283f8a9c BurstTriggerPercent
a4eddce1 Button1Definition
7ef45c5c Button2Definition
df989f94 ButtonDefinition
013bb8da BuyExpButton
0ae88c3b CallForHelpSpike
6463e656 CanBeMadeObsolete
1e4e8270 CanCastOrQueueWhileCasting
db633223 CanCastWhileDisabled
5a1d6084 CanLoadLuaFromLooseFiles
9acfbbaf CanOnlyCastWhileDead
414dc3ed CanOnlyCastWhileDisabled
87cf41fe CancelButtonDefinition
f0d0b6e3 CancelButtonIcons
9c1a0f62 CannonMinionLaneRotation
0ce7b561 CannotBeSuppressed
8804c850 CantCastWhileRooted
32dd4bd4 CapBurstEmitters
839b7f88 CardDefault
21487589 CardHoverMythic
7ae2c38b CardHoverMythicVfx
4b1c7874 CardHoverNonMythic
0b4cf0a8 CardHoverNonMythicVfx
f2b60494 CardRefreshMythicVfx
3002e1a9 CardRefreshNonMythicVfx
aa98a764 CardSelectedMythic
e158e738 CardSelectedMythicVfx
482cc73f CardSelectedNonMythic
d122d71d CardSelectedNonMythicVfx
d2495e4a CaretAlphaMax
9901560f CaretBlinkTime
fd985966 Cases
882db0cc CastAllButtonDefinition
7738aa28 CastConeAngle
5c46e292 CastConeDistance
4e47141f CastFrame
453edffa CastLockoutTime
b7250b1c CastRadius
8f6f40e6 CastRadiusSecondary
1b9cbd9b CastRange
d4c233b3 CastRangeDisplayOverride
4c77a6c3 CastRangeUseBoundingBoxes
b0dbb527 CastShadows
c01d7d11 CastStaticShadows
4ee9bb1f CastTargetAdditionalUnitsRadius
66257047 CastTime
242ed7dc CatalogEntry
cf2f4271 Category
e966c494 CategoryColor
a7d57206 CategoryTitleText
d8c2bcff CcScore
08b52819 CensorModulateValue
232d7bad CensorPolicy
d41d4fce CenterLocator
1286df69 ChallengerRecall
848e6203 ChampTargetingEffectDefinition
ea595ca6 Champion
b3f33cf8 ChampionButtonTemplate
047f7e3b ChampionId
ad06db03 ChampionMetadata
22f23e2c ChampionProgressiveTickData
a977f4ae ChampionSkinId
2d78c328 ChampionSkinName
4a4e8672 ChampionsPerRow
9292a6c1 Chance
2ac71ccc ChannelDuration
be3da0e1 ChannelingEndAutoAttackReset
1cec9ef2 CharAudioNameOverride
9d78529d CharData
55de1cd1 CharacterIconPositionOffset
f13fda60 CharacterIconSize
082ffaf1 CharacterLists
ac971e62 CharacterPreloads
ec3d693a CharacterToolData
905580d9 Characters
5fa96950 Charm
4508cb51 Charmed
9c13b204 ChasingAttackRangePercent
0125a0ca ChatAnnouncementOnly
83c44739 ChatMessageKey
f89e5a78 CheckDurationSeconds
c35d9c0f ChildEmitOnDeath
a03664c8 ChildParticleSetDefinition
9330e6b6 ChildTechniques
663f55e6 ChildrenIdentifiers
ef6c9999 ChildrenName
f1d201d5 ChildrenProbability
8d5a662d ChromaColor1
8a5a6174 ChromaColor2
5e0e1da3 Chunks
f6150a17 ClampTimeToAnimateCastTo0
d7a7ef41 Classification
b18e5e08 ClearAllButtonDefinition
c74c762c ClearButtonTemplate
d1a3dbc8 ClearUndoHistory
cea34a2c ClearUndoHistoryOnActivate
5c7ea86f Click
7babfb4e ClickReleaseParticleElement
f028019b Clickable
280c558b ClientAssets
b490a3cb CloseButton
353d5286 CloseButtonDefinition
5a3c65d9 CloseButtonTemplate
46019bf0 CloseOnEndGameAfterDelay
6337823d CloudsTexturePath
cac1b6d2 Coefficient
25215373 CollectionsIcon
3d7e6258 Color
a2509640 ColorData
cd5a323e ColorLookUpOffsets
f02bd44d ColorLookUpScales
2574b022 ColorLookUpTypeX
2674b1b5 ColorLookUpTypeY
c246d7e7 ColorModulate
e22cb3eb ColorOffsetB
e52cb8a4 ColorOffsetG
f22ccd1b ColorOffsetR
